ring,order,x,y
25,0,0.0,-0.25
25,1,0.21650635094610965,-0.12500000000000003
25,2,0.21650635094610968,0.12499999999999994
25,3,3.061616997868383e-17,0.25
25,4,-0.21650635094610962,0.1250000000000001
25,5,-0.21650635094610965,-0.12500000000000003
25,6,0.0,-0.25
50,0,0.0,-0.5
50,1,0.4330127018922193,-0.25000000000000006
50,2,0.43301270189221935,0.2499999999999999
50,3,6.123233995736766e-17,0.5
50,4,-0.43301270189221924,0.2500000000000002
50,5,-0.4330127018922193,-0.25000000000000006
50,6,0.0,-0.5
75,0,0.0,-0.75
75,1,0.649519052838329,-0.3750000000000001
75,2,0.649519052838329,0.37499999999999983
75,3,9.184850993605148e-17,0.75
75,4,-0.6495190528383289,0.37500000000000033
75,5,-0.649519052838329,-0.3750000000000001
75,6,0.0,-0.75
100,0,0.0,-1.0
100,1,0.8660254037844386,-0.5000000000000001
100,2,0.8660254037844387,0.4999999999999998
100,3,1.2246467991473532e-16,1.0
100,4,-0.8660254037844385,0.5000000000000004
100,5,-0.8660254037844386,-0.5000000000000001
100,6,0.0,-1.0
